title,url,text,publication_date,author,tag
Easily move your native app to Flutter,https://blog.griddynamics.com/easily-move-your-native-app-to-flutter/,"“But I already have an Android and iOS app, why would I need Flutter?” After you read this blog post, the answer will become obvious - to save time and money. “I",2019-07-31,Andrey Chevozerov,UI
Easily move your native app to Flutter,https://blog.griddynamics.com/easily-move-your-native-app-to-flutter/,"“But I already have an Android and iOS app, why would I need Flutter?” After you read this blog post, the answer will become obvious - to save time and money. “I",2019-07-31,Andrey Chevozerov,Mobile
A modern UI and mobile app redesign launches retailer into the future,https://blog.griddynamics.com/a-modern-ui-and-mobile-app-redesign-launches-retailer-into-the-future/,"These days, every retailer has to be mobile-friendly to be competitive, but our client was ahead of the curve. They wanted to provide their largely teenage custo",2019-08-14,Max Martynov,UI
A modern UI and mobile app redesign launches retailer into the future,https://blog.griddynamics.com/a-modern-ui-and-mobile-app-redesign-launches-retailer-into-the-future/,"These days, every retailer has to be mobile-friendly to be competitive, but our client was ahead of the curve. They wanted to provide their largely teenage custo",2019-08-14,Max Martynov,Mobile
A low crash rate is the key to a high mobile app rating,https://blog.griddynamics.com/a-low-crash-rate-is-the-key-to-a-high-mobile-app-rating/,"How bad can a 3.7-star rating really be? Imagine a Fortune 500 retailer with considerable online revenue, but only a minuscule fraction of online sales derived f",2019-08-29,Max Martynov,Mobile
A low crash rate is the key to a high mobile app rating,https://blog.griddynamics.com/a-low-crash-rate-is-the-key-to-a-high-mobile-app-rating/,"How bad can a 3.7-star rating really be? Imagine a Fortune 500 retailer with considerable online revenue, but only a minuscule fraction of online sales derived f",2019-08-29,Max Martynov,E-commerce
A low mobile app rating leaves money on the table,https://blog.griddynamics.com/a-low-mobile-app-rating-leaves-money-on-the-table/,"Higher app store ratings correlate with higher mobile e-commerce revenue. Consumers pay attention to ratings, and you should too. Ratings are indicative of an it",2019-09-19,Max Martynov,Mobile
A low mobile app rating leaves money on the table,https://blog.griddynamics.com/a-low-mobile-app-rating-leaves-money-on-the-table/,"Higher app store ratings correlate with higher mobile e-commerce revenue. Consumers pay attention to ratings, and you should too. Ratings are indicative of an it",2019-09-19,Max Martynov,E-commerce
High-performance Join in Solr with BlockJoinQuery,https://blog.griddynamics.com/high-performance-join-in-solr-with-blockjoinquery/,"Join support is a highly-requested Solr feature, especially in e-commerce. So I repeated Erick Erickson’s benchmark test with block join support for Solr, and I ",2016-07-21,Mikhail Khludnev,Search
How to use Block Join to improve search efficiency with nested documents in Solr,https://blog.griddynamics.com/how-to-use-block-join-to-improve-search-efficiency-with-nested-documents-in-solr/,"Faster responses make customers happy. Lower hardware requirements make budget people happy. Block Join can help accomplish both these goals, which is why we str",2016-08-10,Mikhail Khludnev,Search
Challenges of Continuous Performance Testing,https://blog.griddynamics.com/why-isnt-continous-performance-testing-more-common/,The main reason website and application performance testing is not already continuous in many companies is clear: it’s hard to implement. Why? Let’s look at a fe,2016-09-05,Mikhail Klokov,QA
Challenges of Continuous Performance Testing,https://blog.griddynamics.com/why-isnt-continous-performance-testing-more-common/,The main reason website and application performance testing is not already continuous in many companies is clear: it’s hard to implement. Why? Let’s look at a fe,2016-09-05,Victor Samoylov,QA
Developing a modular pipeline library to improve DevOps collaboration,https://blog.griddynamics.com/developing-a-modular-pipeline-library-to-improve-devops-collaboration/,"Despite speeding up development with deployment automation, one of our clients was experiencing slow time-to-market due to a lack of collaboration in DevOps. Whi",2018-12-20,Sergei Parshev,DevOps
How to extend CI pipelines with Continuous Performance Testing,https://blog.griddynamics.com/how-to-extend-continuous-integration-ci-pipelines-with-continuous-performance-testing-cpt/,In previous posts we've talked about why  Continuous Performance Testing (CPT) must be an integral part of managing the user experience. We've also discussed som,2016-09-21,Victor Samoylov,QA
How to extend CI pipelines with Continuous Performance Testing,https://blog.griddynamics.com/how-to-extend-continuous-integration-ci-pipelines-with-continuous-performance-testing-cpt/,In previous posts we've talked about why  Continuous Performance Testing (CPT) must be an integral part of managing the user experience. We've also discussed som,2016-09-21,Dmitry Latnikov,QA
How to extend CI pipelines with Continuous Performance Testing,https://blog.griddynamics.com/how-to-extend-continuous-integration-ci-pipelines-with-continuous-performance-testing-cpt/,In previous posts we've talked about why  Continuous Performance Testing (CPT) must be an integral part of managing the user experience. We've also discussed som,2016-09-21,Mikhail Klokov,QA
Six design principles of Continuous Performance Testing,https://blog.griddynamics.com/six-design-principles-of-continuous-performance-testing/,"In the course of delivering many successful Continuous Performance Testing (CPT) implementations for enterprise customers, Grid Dynamics engineering teams have d",2016-10-11,Victoria Livschitz,QA
Six design principles of Continuous Performance Testing,https://blog.griddynamics.com/six-design-principles-of-continuous-performance-testing/,"In the course of delivering many successful Continuous Performance Testing (CPT) implementations for enterprise customers, Grid Dynamics engineering teams have d",2016-10-11,Mikhail Klokov,QA
Six design principles of Continuous Performance Testing,https://blog.griddynamics.com/six-design-principles-of-continuous-performance-testing/,"In the course of delivering many successful Continuous Performance Testing (CPT) implementations for enterprise customers, Grid Dynamics engineering teams have d",2016-10-11,Victor Samoylov,QA
Six design principles of Continuous Performance Testing,https://blog.griddynamics.com/six-design-principles-of-continuous-performance-testing/,"In the course of delivering many successful Continuous Performance Testing (CPT) implementations for enterprise customers, Grid Dynamics engineering teams have d",2016-10-11,Dmitry Latnikov,QA
"The next big thing in customer service, a deep learning question-answering system",https://blog.griddynamics.com/the-next-big-thing-in-customer-service-a-deep-learning-question-answering-system/,"“It takes months to find a customer, but only seconds to lose one.”  Maintaining a high-quality customer service experience while minimizing costs is high on the",2019-09-04,Mariia Fedorova,ML & AI
Continuous Performance Testing (CPT) with Jagger,https://blog.griddynamics.com/continuous-performance-testing-cpt-with-jagger/,"In previous blog posts we have described the business need for automated and continuous performance testing, the role and place of continuous performance testing",2017-10-04,Mikhail Klokov,QA
How Machine Learning can address attribution issues in e-commerce catalogs,https://blog.griddynamics.com/how-machine-learning-can-fix-ecommerce-catalogs-attribution-issues/,"A richly attributed and well-curated product catalog is the key asset of online retailers. However, products are frequently misattributed, which makes it a pain ",2017-06-20,Nina Pakhomova,Search
How Machine Learning can address attribution issues in e-commerce catalogs,https://blog.griddynamics.com/how-machine-learning-can-fix-ecommerce-catalogs-attribution-issues/,"A richly attributed and well-curated product catalog is the key asset of online retailers. However, products are frequently misattributed, which makes it a pain ",2017-06-20,Nina Pakhomova,ML & AI
Detecting and correcting e-commerce catalog misattribution with image and text classification using Google TensorFlow,https://blog.griddynamics.com/fix-e-commerce-attribution-with-tensorflow-and-image-recognition/,"In our previous post, we discussed the impact of product misattribution in e-commerce and how image recognition with Machine Learning can be an important tool to",2017-06-22,Nina Pakhomova,Search
Detecting and correcting e-commerce catalog misattribution with image and text classification using Google TensorFlow,https://blog.griddynamics.com/fix-e-commerce-attribution-with-tensorflow-and-image-recognition/,"In our previous post, we discussed the impact of product misattribution in e-commerce and how image recognition with Machine Learning can be an important tool to",2017-06-22,Nina Pakhomova,ML & AI
The basics of data science with a sentiment analysis example,https://blog.griddynamics.com/lets-use-twitter-stream-sentiment-analysis-of-popular-movies-to-teach-the-rudiments-of-data-science/,There is a broad and fast-growing interest in data science and machine learning. It is fueled by an explosion in business applications that rely on automated det,2016-11-10,Anton Ovchinnikov,Data Science
The basics of data science with a sentiment analysis example,https://blog.griddynamics.com/lets-use-twitter-stream-sentiment-analysis-of-popular-movies-to-teach-the-rudiments-of-data-science/,There is a broad and fast-growing interest in data science and machine learning. It is fueled by an explosion in business applications that rely on automated det,2016-11-10,Victoria Livschitz,Data Science
The basics of data science with a sentiment analysis example,https://blog.griddynamics.com/lets-use-twitter-stream-sentiment-analysis-of-popular-movies-to-teach-the-rudiments-of-data-science/,There is a broad and fast-growing interest in data science and machine learning. It is fueled by an explosion in business applications that rely on automated det,2016-11-10,Joseph Gorelik,Data Science
"Selecting, training, evaluating, and tuning the model",https://blog.griddynamics.com/selecting-training-evaluating-and-tuning-the-model-for-twitter-stream-sentiment-analysis-of-social-movie-review/,"In previous posts we have discussed the steps needed to understand and prepare the data for Social Movie Reviews. Finally, it is time to run the models and learn",2016-11-28,Anton Ovchinnikov,Data Science
"Selecting, training, evaluating, and tuning the model",https://blog.griddynamics.com/selecting-training-evaluating-and-tuning-the-model-for-twitter-stream-sentiment-analysis-of-social-movie-review/,"In previous posts we have discussed the steps needed to understand and prepare the data for Social Movie Reviews. Finally, it is time to run the models and learn",2016-11-28,Victoria Livschitz,Data Science
"Selecting, training, evaluating, and tuning the model",https://blog.griddynamics.com/selecting-training-evaluating-and-tuning-the-model-for-twitter-stream-sentiment-analysis-of-social-movie-review/,"In previous posts we have discussed the steps needed to understand and prepare the data for Social Movie Reviews. Finally, it is time to run the models and learn",2016-11-28,Joseph Gorelik,Data Science
Using CRISP-DM methodology for Twitter sentiment analysis,https://blog.griddynamics.com/data-scientists-vocabulary-and-scientific-process-applied-to-social-movie-reviews/,"As we explained in our introduction to this series of posts, we are exploring a data scientist’s methods of extracting hidden patterns and meanings from big data",2016-11-10,Anton Ovchinnikov,Data Science
Using CRISP-DM methodology for Twitter sentiment analysis,https://blog.griddynamics.com/data-scientists-vocabulary-and-scientific-process-applied-to-social-movie-reviews/,"As we explained in our introduction to this series of posts, we are exploring a data scientist’s methods of extracting hidden patterns and meanings from big data",2016-11-10,Victoria Livschitz,Data Science
Using CRISP-DM methodology for Twitter sentiment analysis,https://blog.griddynamics.com/data-scientists-vocabulary-and-scientific-process-applied-to-social-movie-reviews/,"As we explained in our introduction to this series of posts, we are exploring a data scientist’s methods of extracting hidden patterns and meanings from big data",2016-11-10,Joseph Gorelik,Data Science
Understanding the structure of the data in Twitter streams for sentiment analysis applications,https://blog.griddynamics.com/understanding-the-structure-of-the-data-in-twitter-streams-for-sentiment-analysis-applications/,"In the previous post we outlined the basic scientific method used and formalized the problem statement we are solving, which is, “Based on of the tweets of Engli",2016-11-11,Anton Ovchinnikov,Data Science
Understanding the structure of the data in Twitter streams for sentiment analysis applications,https://blog.griddynamics.com/understanding-the-structure-of-the-data-in-twitter-streams-for-sentiment-analysis-applications/,"In the previous post we outlined the basic scientific method used and formalized the problem statement we are solving, which is, “Based on of the tweets of Engli",2016-11-11,Victoria Livschitz,Data Science
Understanding the structure of the data in Twitter streams for sentiment analysis applications,https://blog.griddynamics.com/understanding-the-structure-of-the-data-in-twitter-streams-for-sentiment-analysis-applications/,"In the previous post we outlined the basic scientific method used and formalized the problem statement we are solving, which is, “Based on of the tweets of Engli",2016-11-11,Joseph Gorelik,Data Science
Constructing a data dictionary for Twitter stream sentiment analysis of social movie reviews,https://blog.griddynamics.com/constructing-a-data-dictionary-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed the structure of the tweet data. In this post we’ll address the process of selecting or building the right data dictionary for ,2016-11-11,Anton Ovchinnikov,Data Science
Constructing a data dictionary for Twitter stream sentiment analysis of social movie reviews,https://blog.griddynamics.com/constructing-a-data-dictionary-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed the structure of the tweet data. In this post we’ll address the process of selecting or building the right data dictionary for ,2016-11-11,Victoria Livschitz,Data Science
Constructing a data dictionary for Twitter stream sentiment analysis of social movie reviews,https://blog.griddynamics.com/constructing-a-data-dictionary-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed the structure of the tweet data. In this post we’ll address the process of selecting or building the right data dictionary for ,2016-11-11,Joseph Gorelik,Data Science
Creating training and test data sets and preparing the data,https://blog.griddynamics.com/creating-training-and-test-data-sets-and-preparing-the-data-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed how we created an appropriate data dictionary. In this post we’ll address the process of building the training data sets and pr,2016-11-18,Anton Ovchinnikov,Data Science
Creating training and test data sets and preparing the data,https://blog.griddynamics.com/creating-training-and-test-data-sets-and-preparing-the-data-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed how we created an appropriate data dictionary. In this post we’ll address the process of building the training data sets and pr,2016-11-18,Joseph Gorelik,Data Science
Creating training and test data sets and preparing the data,https://blog.griddynamics.com/creating-training-and-test-data-sets-and-preparing-the-data-for-twitter-stream-sentiment-analysis-of-social-movie-reviews/,In the previous post we discussed how we created an appropriate data dictionary. In this post we’ll address the process of building the training data sets and pr,2016-11-18,Victoria Livschitz,Data Science
Visualizing insights with an analytics dashboard,https://blog.griddynamics.com/visualizing-the-insights-with-analytics-dashboard/,"In the previous post we discussed which models we tried for sentiment classification and which one has demonstrated the best performance. In this post, we’ll sho",2016-12-02,Anton Ovchinnikov,Data Science
Visualizing insights with an analytics dashboard,https://blog.griddynamics.com/visualizing-the-insights-with-analytics-dashboard/,"In the previous post we discussed which models we tried for sentiment classification and which one has demonstrated the best performance. In this post, we’ll sho",2016-12-02,Victoria Livschitz,Data Science
Visualizing insights with an analytics dashboard,https://blog.griddynamics.com/visualizing-the-insights-with-analytics-dashboard/,"In the previous post we discussed which models we tried for sentiment classification and which one has demonstrated the best performance. In this post, we’ll sho",2016-12-02,Joseph Gorelik,Data Science
10 ways computer vision is transforming digital retail,https://blog.griddynamics.com/computer-vision-is-transforming-digital-retail/,Computer vision has become essential to remaining competitive in the digital retail space because it offers innovative customer experiences and process automatio,2019-10-17,Ezra Berger ,ML & AI
A case study: birthday search queries using Solr,https://blog.griddynamics.com/a-case-study-birthday-search-queries-using-solr/,“Find all customers who have a birthday in the next 10 days” “Which employees have achieved 10 years of service this month?” These types of questions are simple ,2019-04-16,Pavel Vasilyev,Search
A case study: birthday search queries using Solr,https://blog.griddynamics.com/a-case-study-birthday-search-queries-using-solr/,“Find all customers who have a birthday in the next 10 days” “Which employees have achieved 10 years of service this month?” These types of questions are simple ,2019-04-16,Pavel Vasilyev,E-commerce
Developing real-time applications on AWS ELB without WebSocket,https://blog.griddynamics.com/developing-real-time-applications-on-aws-elb-without-websocket/,"Recently, we started working on a mini chat application for a client support team. Though we expected a quick and easy implementation, we hit on some unexpected ",2017-10-17,Yaroslav Basovskyy,UI
What is computer vision and what can it do?,https://blog.griddynamics.com/what-is-computer-vision-and-what-can-it-do/,Computer vision is becoming essential to successful digital transformation efforts with many compelling uses and many accessible solution options for properly bu,2019-11-13,Ezra Berger ,ML & AI
Implementing autocomplete with Solr,https://blog.griddynamics.com/implementing-autocomplete-with-solr/,"In recent years, autocomplete has become a staple feature for searches of all types.Whether Google, Amazon, or smaller sites and vendors, predictive typing, as i",2017-02-22,Konstantin Perikov,Search
Implementing autocomplete with Solr,https://blog.griddynamics.com/implementing-autocomplete-with-solr/,"In recent years, autocomplete has become a staple feature for searches of all types.Whether Google, Amazon, or smaller sites and vendors, predictive typing, as i",2017-02-22,Andrey Kudryavstev,Search
"What computer vision services, platforms & solutions are on the market",https://blog.griddynamics.com/what-computer-vision-services-platforms-and-solutions-are-on-the-market/,"In our last post in this series, we discussed the top 10 computer vision use cases in digital retail. In this post, we discuss how you would go about sourcing a ",2019-10-31,Ezra Berger ,ML & AI
How to use suffix arrays to combat common limitations of full-text search,https://blog.griddynamics.com/using-suffix-arrays-to-fix-limitations-of-full-text-search/,"Open source full-text search engines provide rich functionality out of the box. However, there are some use cases when naive implementation may lead to terrible ",2017-06-27,Konstantin Perikov,Search
How to use suffix arrays to combat common limitations of full-text search,https://blog.griddynamics.com/using-suffix-arrays-to-fix-limitations-of-full-text-search/,"Open source full-text search engines provide rich functionality out of the box. However, there are some use cases when naive implementation may lead to terrible ",2017-06-27,Yakov Sirotkin,Search
How to create a serverless real-time analytics platform: a case study,https://blog.griddynamics.com/how-to-create-a-serverless-real-time-analytics-platform-a-case-study/,We recently built an analytics platform for a startup company whose mobile game acts as a digital advertising platform while providing rewards and instant winnin,2018-01-16,Ivan Petrushin,Big Data
How to create a serverless real-time analytics platform: a case study,https://blog.griddynamics.com/how-to-create-a-serverless-real-time-analytics-platform-a-case-study/,We recently built an analytics platform for a startup company whose mobile game acts as a digital advertising platform while providing rewards and instant winnin,2018-01-16,Ivan Petrushin,ML & AI
When life gives you lemons: Analyzing negative reviews to improve your mobile app,https://blog.griddynamics.com/when-life-gives-you-lemons/,"Your product is good. Your mobile app has great features, but your app store rating is low. What happened? In a previous blog post we demonstrated that high cras",2019-08-21,Jiaye Pan,Mobile
When life gives you lemons: Analyzing negative reviews to improve your mobile app,https://blog.griddynamics.com/when-life-gives-you-lemons/,"Your product is good. Your mobile app has great features, but your app store rating is low. What happened? In a previous blog post we demonstrated that high cras",2019-08-21,Jiaye Pan,E-commerce
Delivering digital transformation:  Why automation and creating a high-performance engineering culture are vital to digital success,https://blog.griddynamics.com/why-automation-and-a-high-performance-engineering-culture-ensure-digital-success/,"A key part of digital transformation is actually changing the way you develop software. New technologies such as mobile, progressive web, cloud, big data, and ma",2020-01-21,Ezra Berger ,DevOps
How to replatform Endeca rules to Elasticsearch,https://blog.griddynamics.com/how-to-replatform-endeca-rules-to-elasticsearch/,Merchandising is an essential part of modern online retail. Automated merchandising platforms allow business users to control search and browse results by affect,2020-02-18,Maria Dyuldina,Search
How to replatform Endeca rules to Elasticsearch,https://blog.griddynamics.com/how-to-replatform-endeca-rules-to-elasticsearch/,Merchandising is an essential part of modern online retail. Automated merchandising platforms allow business users to control search and browse results by affect,2020-02-18,Eugene Steinberg,Search
The segmented filter cache and Block Join Query Parser in Solr,https://blog.griddynamics.com/segmented-filter-cache-and-block-join-query-parser-in-solr/,"The “law of unintended consequences” applies to using the block join query parser in Solr, just as it does to many other things in life (and software). Leave out",2016-08-16,Mikhail Khludnev,Search
Introduction to Block Join Faceting in Solr,https://blog.griddynamics.com/introduction-to-block-join-faceting-in-solr/,"A straightforward look at how Block Join Faceting works, how it can save your customers from frustrating search experiences, and why Grid Dynamics created SOLR-5",2016-07-20,Oleg Savrasov,Search
"Yes, you can have it both ways: in-sprint QE automation improves code and accelerates development speed",https://blog.griddynamics.com/how-in-sprint-qe-automation-improves-accelerates-development/,"Speed and quality have always seemed mutually exclusive for engineering development -- but do they have to be? In order to ensure high quality, builds need to be",2018-10-03,Maksym Usichenko,QA
How to implement Block Join Faceting in Solr/Lucene,https://blog.griddynamics.com/how-to-implement-block-join-faceting-in-solr-lucene/,"In a previous post, we talked about business motivations behind the support of structured documents in a Solr/Lucene index and the unique requirements for a  fac",2016-08-09,Oleg Savrasov,Search
How to implement multi-select faceting for nested documents in Solr,https://blog.griddynamics.com/multi-select-faceting-for-nested-documents-in-solr/,"Nearly all major online retailers these days support faceted navigation, as it is a key instrument of product discovery. Facets provide a powerful, intuitive way",2018-08-14,Oleg Savrasov,Search
How to implement multi-select faceting for nested documents in Solr,https://blog.griddynamics.com/multi-select-faceting-for-nested-documents-in-solr/,"Nearly all major online retailers these days support faceted navigation, as it is a key instrument of product discovery. Facets provide a powerful, intuitive way",2018-08-14,Eugene Steinberg,Search
Practical unit testing for iOS applications,https://blog.griddynamics.com/guide-to-practical-unit-testing-for-ios-applications/,Unit tests are the de facto standard for establishing a consistent product and an efficient continuous delivery process. They force you to write well-structured ,2017-09-21,Pavel Katunin,QA
Practical unit testing for iOS applications,https://blog.griddynamics.com/guide-to-practical-unit-testing-for-ios-applications/,Unit tests are the de facto standard for establishing a consistent product and an efficient continuous delivery process. They force you to write well-structured ,2017-09-21,Pavel Katunin,Mobile
Creating an image similarity function with TensorFlow and its application in e-commerce,https://blog.griddynamics.com/create-image-similarity-function-with-tensorflow-for-retail/,"In our previous post, we showed you how to use image recognition to solve the issue of misattribution in e-commerce catalogs. Once you start to trust your models",2017-06-29,Nina Pakhomova,Search
Creating an image similarity function with TensorFlow and its application in e-commerce,https://blog.griddynamics.com/create-image-similarity-function-with-tensorflow-for-retail/,"In our previous post, we showed you how to use image recognition to solve the issue of misattribution in e-commerce catalogs. Once you start to trust your models",2017-06-29,Nina Pakhomova,ML & AI
Searching grandchildren and siblings with Solr Block Join,https://blog.griddynamics.com/searching-grandchildren-and-siblings-with-solr-block-join/,"We’ve talked about searching nested parents and children with Solr Block Join. But we can go far beyond that, to searching siblings, grandchildren, and other des",2016-08-26,Mikhail Khludnev,Search
A Frustrating Personal Experience with Unfaceted Search,https://blog.griddynamics.com/a-frustrating-personal-experience-with-unfaceted-search/,"I was recently on an airline flight with onboard entertainment. There was a good selection of movies, but look at the film navigation menu! It lacks the ability ",2016-08-31,Mikhail Khludnev,Search
Using geofence marketing & Bluetooth beacons to improve offline sales,https://blog.griddynamics.com/using-bluetooth-low-energy-beacons-and-geofencing-to-build-brick-and-mortar-store-sales/,"Increasingly, regional and national retail chains are facing anemic sales figures in their “brick and mortar” stores. Even when overall performance is in line wi",2017-03-23,Nikolay Khokhlienkov,Mobile
Building an e-commerce omnichannel inventory solution with open-source,https://blog.griddynamics.com/replatforming-an-inventory-system-to-the-cloud/,"After an hour of online research, Rachel bought the perfect raincoat for her upcoming trip in Southeast Asia-- and then discovered that it didn't exist. Unfortun",2018-09-19,Max Martynov,E-commerce
How to replatform e-commerce search from Endeca to Solr,https://blog.griddynamics.com/how-to-replatform-e-commerce-search-from-endeca-to-solr-elasticsearch/,Let’s face it — Oracle Endeca is an out-of-date e-commerce search technology solution. Endeca’s lack of personalization and support for omnichannel capabilities ,2018-10-16,Max Martynov,Search
How to replatform e-commerce search from Endeca to Solr,https://blog.griddynamics.com/how-to-replatform-e-commerce-search-from-endeca-to-solr-elasticsearch/,Let’s face it — Oracle Endeca is an out-of-date e-commerce search technology solution. Endeca’s lack of personalization and support for omnichannel capabilities ,2018-10-16,Max Martynov,E-commerce
Why you need a microservices management platform and how to build it,https://blog.griddynamics.com/build-a-microservices-platform-for-replatforming/,Retailers wanting to upgrade their monolithic architecture systems to a microservices approach will need to build a management platform to truly capture its bene,2018-10-24,Max Martynov,E-commerce
"DevOps 2.0 is here, and it’s time to put end-to-end continuous delivery pipelines behind every project.",https://blog.griddynamics.com/the-continuous-delivery-problem-has-been-solved-and-its-time-to-implement/,Implementing end-to-end continuous delivery at the enterprise level has always been a challenge. It is a complex problem that requires simultaneous improvements ,2019-05-08,Max Martynov,DevOps
How to build a pricing engine for e-commerce promotions and offers,https://blog.griddynamics.com/how-to-replatform-a-pricing-engine/,"The convergence of in-store and online retail operations in recent years has put significant new demands on the management of pricing, offers, and promotions as ",2018-11-08,Max Martynov,E-commerce
Unified commerce: Making the most of a true omnichannel experience,https://blog.griddynamics.com/unified-commerce-making-the-most-of-a-true-omnichannel-experience/,"Initially, digital transformation for brick-and-mortar retailers meant creating a good customer experience over web and mobile channels. While that started to cl",2020-02-03,Max Martynov,E-commerce
Digital transformation requires new technology partnerships and Agile co-innovation,https://blog.griddynamics.com/digital-transformation-requires-new-technology-partnerships-and-agile-co-innovation/,The demands on IT service providers are changing because companies are embracing digital transformation. Traditionally most IT services were confined to packaged,2019-12-30,Max Martynov,E-commerce
Digital transformation requires new technology partnerships and Agile co-innovation,https://blog.griddynamics.com/digital-transformation-requires-new-technology-partnerships-and-agile-co-innovation/,The demands on IT service providers are changing because companies are embracing digital transformation. Traditionally most IT services were confined to packaged,2019-12-30,Ezra Berger ,E-commerce
Why you need data quality automation to make data-driven decisions with confidence,https://blog.griddynamics.com/why-you-need-data-quality-automation-to-make-data-driven-decisions/,The quarterly report showed a 40% drop in sales over the last quarter. The executive team panicked. The entire company is collapsing! Or is it? After the investi,2019-10-29,Max Martynov,Big Data
Why you need data quality automation to make data-driven decisions with confidence,https://blog.griddynamics.com/why-you-need-data-quality-automation-to-make-data-driven-decisions/,The quarterly report showed a 40% drop in sales over the last quarter. The executive team panicked. The entire company is collapsing! Or is it? After the investi,2019-10-29,Max Martynov,QA
